match_id,batter,runs,balls_faced
335982.0,AA Noffke,9.0,12
335982.0,B Akhil,0.0,2
335982.0,BB McCullum,158.0,77
335982.0,CL White,6.0,10
335982.0,DJ Hussey,12.0,12
335982.0,JH Kallis,8.0,7
335982.0,MV Boucher,7.0,11
335982.0,Mohammad Hafeez,5.0,3
335982.0,P Kumar,18.0,17
335982.0,R Dravid,2.0,3
335982.0,RT Ponting,20.0,20
335982.0,SB Joshi,3.0,8
335982.0,SC Ganguly,10.0,12
335982.0,V Kohli,1.0,5
335982.0,W Jaffer,6.0,18
335982.0,Z Khan,3.0,8
335983.0,IK Pathan,3.0,5
335983.0,JDP Oram,13.0,11
335983.0,JR Hopes,71.0,34
335983.0,K Goel,24.0,20
335983.0,KC Sangakkara,54.0,35
335983.0,MEK Hussey,116.0,54
335983.0,ML Hayden,25.0,17
335983.0,MS Dhoni,2.0,3
335983.0,PA Patel,15.0,11
335983.0,S Badrinath,31.0,14
335983.0,SK Raina,32.0,14
335983.0,SM Katich,21.0,17
335983.0,Yuvraj Singh,23.0,13
335984.0,D Salunkhe,26.0,20
335984.0,DS Lehmann,1.0,2
335984.0,G Gambhir,58.0,49
335984.0,M Kaif,9.0,19
335984.0,M Rawat,2.0,4
335984.0,RA Jadeja,29.0,24
335984.0,S Dhawan,52.0,44
335984.0,SK Trivedi,3.0,7
335984.0,SK Warne,14.0,13
335984.0,SR Watson,21.0,15
335984.0,T Kohli,7.0,13
335984.0,V Sehwag,12.0,4
335984.0,YK Pathan,10.0,5
335985.0,AM Nayar,20.0,15
335985.0,B Akhil,3.0,6
335985.0,DJ Thornely,0.0,6
335985.0,Harbhajan Singh,2.0,2
335985.0,JH Kallis,25.0,24
335985.0,L Ronchi,8.0,10
335985.0,LRPL Taylor,23.0,13
335985.0,MV Boucher,39.0,20
335985.0,PR Shah,19.0,23
335985.0,R Dravid,32.0,33
335985.0,RV Uthappa,48.0,38
335985.0,S Chanderpaul,16.0,12
335985.0,SM Pollock,28.0,12
335985.0,ST Jayasuriya,29.0,17
335985.0,V Kohli,23.0,15
335986.0,A Symonds,32.0,41
335986.0,AC Gilchrist,23.0,24
335986.0,AS Yadav,10.0,10
335986.0,BB McCullum,5.0,5
335986.0,DJ Hussey,38.0,45
335986.0,LR Shukla,4.0,6
335986.0,Mohammad Hafeez,13.0,13
335986.0,RG Sharma,0.0,3
335986.0,RP Singh,1.0,2
335986.0,RT Ponting,0.0,1
335986.0,SB Bangar,14.0,10
335986.0,SB Styris,6.0,7
335986.0,SC Ganguly,14.0,35
335986.0,VVS Laxman,0.0,6
335986.0,WP Saha,10.0,17
335986.0,WPUJC Vaas,0.0,1
335986.0,Y Venugopal Rao,14.0,14
335987.0,B Lee,0.0,2
335987.0,DPMD Jayawardene,2.0,5
335987.0,DS Lehmann,17.0,17
335987.0,IK Pathan,12.0,19
335987.0,JR Hopes,16.0,16
335987.0,K Goel,26.0,21
335987.0,KC Sangakkara,20.0,8
335987.0,Kamran Akmal,15.0,10
335987.0,M Kaif,5.0,8
335987.0,PP Chawla,24.0,11
335987.0,RA Jadeja,36.0,27
335987.0,S Sohal,4.0,4
335987.0,SR Watson,76.0,51
335987.0,WA Mota,1.0,1
335987.0,YK Pathan,7.0,6
335987.0,Yuvraj Singh,57.0,35
335988.0,A Symonds,12.0,13
335988.0,AC Gilchrist,8.0,9
335988.0,AS Yadav,12.0,7
335988.0,G Gambhir,12.0,9
335988.0,RG Sharma,66.0,37
335988.0,RP Singh,1.0,1
335988.0,S Dhawan,25.0,31
335988.0,SB Bangar,8.0,14
335988.0,Shahid Afridi,2.0,7
335988.0,V Sehwag,94.0,43
335988.0,VVS Laxman,2.0,6
335988.0,WPUJC Vaas,12.0,6
335988.0,Y Venugopal Rao,14.0,22
335989.0,A Nehra,1.0,2
335989.0,AM Nayar,45.0,20
335989.0,DJ Bravo,24.0,17
335989.0,Harbhajan Singh,28.0,14
335989.0,JDP Oram,5.0,2
335989.0,L Ronchi,2.0,4
335989.0,MA Khote,9.0,5
335989.0,MEK Hussey,5.0,9
335989.0,ML Hayden,81.0,47
335989.0,MS Dhoni,30.0,17
335989.0,PA Patel,14.0,12
335989.0,RV Uthappa,43.0,36
335989.0,S Badrinath,2.0,1
335989.0,SK Raina,53.0,39
335989.0,SM Pollock,17.0,18
335989.0,ST Jayasuriya,20.0,12
335990.0,A Symonds,117.0,57
335990.0,AC Gilchrist,13.0,9
335990.0,AS Yadav,16.0,10
335990.0,D Salunkhe,1.0,1
335990.0,GC Smith,71.0,46
335990.0,Kamran Akmal,12.0,9
335990.0,M Kaif,34.0,16
335990.0,Pankaj Singh,4.0,3
335990.0,RA Jadeja,1.0,3
335990.0,RG Sharma,36.0,30
335990.0,SK Warne,22.0,9
335990.0,SR Watson,4.0,6
335990.0,Shahid Afridi,10.0,4
335990.0,VVS Laxman,16.0,16
335990.0,YK Pathan,61.0,29
335991.0,A Nehra,2.0,10
335991.0,AM Nayar,2.0,3
335991.0,B Lee,16.0,9
335991.0,DJ Bravo,23.0,22
335991.0,DPMD Jayawardene,12.0,7
335991.0,DS Kulkarni,2.0,17
335991.0,Harbhajan Singh,0.0,1
335991.0,IK Pathan,6.0,3
335991.0,K Goel,18.0,21
335991.0,KC Sangakkara,94.0,58
335991.0,L Ronchi,11.0,9
335991.0,MA Khote,8.0,7
335991.0,PP Chawla,0.0,1
335991.0,RR Sarwan,7.0,9
335991.0,RV Uthappa,21.0,19
335991.0,S Sohal,0.0,4
335991.0,S Sreesanth,0.0,1
335991.0,SM Pollock,22.0,21
335991.0,SS Tiwary,17.0,10
335991.0,ST Jayasuriya,1.0,7
335991.0,VRV Singh,4.0,2
335991.0,Yuvraj Singh,18.0,9
335992.0,GC Smith,49.0,42
335992.0,JH Kallis,11.0,10
335992.0,LRPL Taylor,44.0,21
335992.0,M Kaif,4.0,6
335992.0,M Rawat,0.0,2
335992.0,MV Boucher,4.0,10
335992.0,P Kumar,34.0,30
335992.0,R Dravid,0.0,1
335992.0,R Vinay Kumar,1.0,1
335992.0,S Chanderpaul,2.0,9
335992.0,SB Joshi,3.0,8
335992.0,SR Watson,61.0,43
335992.0,V Kohli,13.0,16
335992.0,YK Pathan,21.0,12
335992.0,Z Khan,17.0,18
335993.0,AB Agarkar,11.0,9
335993.0,BB McCullum,24.0,12
335993.0,DJ Hussey,0.0,2
335993.0,I Sharma,4.0,3
335993.0,LR Shukla,42.0,35
335993.0,M Kartik,3.0,3
335993.0,ML Hayden,70.0,50
335993.0,MS Dhoni,43.0,27
335993.0,Mohammad Hafeez,16.0,24
335993.0,PA Patel,21.0,30
335993.0,RT Ponting,0.0,1
335993.0,SC Ganguly,12.0,21
335993.0,WP Saha,27.0,16
335994.0,AC Gilchrist,109.0,50
335994.0,AM Nayar,34.0,20
335994.0,AM Rahane,0.0,7
335994.0,DJ Bravo,34.0,18
335994.0,L Ronchi,13.0,11
335994.0,MA Khote,7.0,10
335994.0,RV Uthappa,6.0,5
335994.0,SM Pollock,31.0,31
335994.0,ST Jayasuriya,18.0,23
335994.0,VVS Laxman,37.0,27
335995.0,B Lee,1.0,3
335995.0,DPMD Jayawardene,15.0,15
335995.0,G Gambhir,18.0,14
335995.0,IK Pathan,10.0,7
335995.0,K Goel,1.0,3
335995.0,KC Sangakkara,4.0,2
335995.0,KD Karthik,24.0,14
335995.0,MF Maharoof,18.0,12
335995.0,MK Tiwary,39.0,36
335995.0,R Bhatia,17.0,15
335995.0,S Dhawan,0.0,3
335995.0,SM Katich,75.0,55
335995.0,Shoaib Malik,19.0,19
335995.0,TM Srivastava,7.0,9
335995.0,V Sehwag,6.0,7
335995.0,VY Mahesh,6.0,5
335995.0,Yuvraj Singh,40.0,29
335996.0,B Akhil,2.0,3
335996.0,B Chipli,8.0,12
335996.0,DW Steyn,1.0,2
335996.0,JH Kallis,14.0,10
335996.0,LRPL Taylor,53.0,36
335996.0,MEK Hussey,47.0,37
335996.0,ML Hayden,13.0,21
335996.0,MS Dhoni,65.0,31
335996.0,MV Boucher,4.0,6
335996.0,P Kumar,6.0,5
335996.0,PA Patel,21.0,17
